"代码","名称","报告期","行业","营业总收入(元)","同比增长(%)","季度环比增长(%)","销售商品、提供劳务收到的现金","销售商品、提供劳务收到的现金占比","净利润(元)","净利润同比(%)","季度环比增长(%)","销售毛利率(%)","总负债(元)","总负债同比(%)"
"000651","格力电器","2018-12-31T00:00:00","家电行业","200023997743.87","33.332","-13.9053","135029126382.98","18.2163969754155","26202787681.42","0.169742","-38.8329","30.2282","158519445549.35","0.070114"
"000651","格力电器","2017-12-31T00:00:00","家电行业","150019551611.75","36.2413","-9.5533","107599120105.06","2.15363019629932","22400484001.26","0.448663","15.5227","32.8577","148133201565.19","0.162542"
"000651","格力电器","2016-12-31T00:00:00","家电行业","110113101850.23","9.4951","-21.7851","69896621293.21","11.5652862740755","15463625768.05","0.230484","-13.1497","32.7018","127421835134.36","0.126532""代码","名称","报告期","行业","营业总收入(元)","同比增长(%)","季度环比增长(%)","销售商品、提供劳务收到的现金","销售商品、提供劳务收到的现金占比","净利润(元)","净利润同比(%)","季度环比增长(%)","销售毛利率(%)","总负债(元)","总负债同比(%)"
"002635","安洁科技","2019-03-31T00:00:00","电子元件","667930474.7","8.0968","-36.3889","945151166.39","2.36429601794852","193458661.48","0.864699","59.3946","22.1143","1467585735.04","-0.131887"
"002635","安洁科技","2018-12-31T00:00:00","电子元件","3554259001.14","30.9312","1.1591","3506826565.88","16.9810439729459","547493479.18","0.398522","-35.7076","31.2754","1844909722.54","-0.051094"
"002635","安洁科技","2017-12-31T00:00:00","电子元件","2714600818.92","48.5286","31.9464","2461977085.14","24.8984211935693","391480069.92","0.011291","-73.0691","37.617","1944249492.08","1.95845"
"002635","安洁科技","2016-12-31T00:00:00","电子元件","1827662448.93","-2.8062","-10.4592","1945338747.35","5.61526979124761","387109169.17","0.260758","-4.3103","36.145","657185193.89","-0.126259""代码","名称","报告期","行业","营业总收入(元)","同比增长(%)","季度环比增长(%)","销售商品、提供劳务收到的现金","销售商品、提供劳务收到的现金占比","净利润(元)","净利润同比(%)","季度环比增长(%)","销售毛利率(%)","总负债(元)","总负债同比(%)"
"000063","中兴通讯","2019-03-31T00:00:00","通讯行业","22201814000","-19.3434","-16.9931","20894666000","3.88152097122984","862604000","1.159528","212.4686","39.9719","106876140000","0.058485"
"000063","中兴通讯","2018-12-31T00:00:00","通讯行业","85513150000","-21.4144","38.353","90583797000","10.0927244957693","-6983662000","-2.528765","-51.0935","32.9137","96390074000","-0.022235"
"000063","中兴通讯","2017-12-31T00:00:00","通讯行业","108815273000","7.4897","42.8301","115579157000","1943.22534382461","4568172000","2.937786","-58.8332","31.0705","98582068000","-0.021574"
"000063","中兴通讯","2016-12-31T00:00:00","通讯行业","101233182000","1.0448","24.6253","113551944000","33.0785683386279","-2357418000","-1.734882","-577.4694","30.7533","100755820000","0.236525""代码","名称","报告期","行业","营业总收入(元)","同比增长(%)","季度环比增长(%)","销售商品、提供劳务收到的现金","销售商品、提供劳务收到的现金占比","净利润(元)","净利润同比(%)","季度环比增长(%)","销售毛利率(%)","总负债(元)","总负债同比(%)"
"603160","汇顶科技","2019-03-31T00:00:00","电子元件","1224785064.56","114.3903","-9.6644","970661919.31","5.42400827438342","414214424.07","20.399521","-2.2536","61.4307","1195277884.6","0.497442"
"603160","汇顶科技","2018-12-31T00:00:00","电子元件","3721291685.55","1.0783","38.7717","4240567204.17","6.45035883489401","742498646.02","-0.162856","105.2058","52.1835","1237751170.29","0.327801"
"603160","汇顶科技","2017-12-31T00:00:00","电子元件","3681594308.56","19.5582","-18.8909","4306951801.87","31.3714360511082","886942112.9","0.035151","-55.707","47.1185","932180983.31","0.947139"
"603160","汇顶科技","2016-12-31T00:00:00","电子元件","3079331261.46","175.0382","5.2515","2613918320.95","5.25429228560845","856824030.01","1.264615","-14.6336","47.1445","478743877.64","1.185838""代码","名称","报告期","行业","营业总收入(元)","同比增长(%)","季度环比增长(%)","销售商品、提供劳务收到的现金","销售商品、提供劳务收到的现金占比","净利润(元)","净利润同比(%)","季度环比增长(%)","销售毛利率(%)","总负债(元)","总负债同比(%)"
"300679","电连技术","2019-03-31T00:00:00","电子元件","375805891.98","36.9618","-6.3681","389804690.21","0.332084653418648","42887118.48","-0.335879","11.3851","29.9644","415254865.27","0.668513"
"300679","电连技术","2018-12-31T00:00:00","电子元件","1341313955.02","-5.7455","18.7907","1397940366.42","1.12284834186863","239869865.26","-0.335793","-51.1621","37.8619","395236535.99","0.413299"
"300679","电连技术","2017-12-31T00:00:00","电子元件","1423076434.67","2.2075","0.0306","1555807080.16","0.793130110259586","361137205.31","0.007018","-3.8702","46.7071","279655261.52","-0.035537"
